city,name,price,enterprise,alias,string_len
保定,鹏渤印象城,7900,其他,鹏渤印象城,5
保定,华侨城城市客厅,9000,其他,华侨城城市客厅,7
保定,中国铁建樾府国际,9700,中国铁建,樾府国际,4
保定,天地新城,9050,其他,天地新城,4
保定,朝阳首府彤园,9000,其他,朝阳首府彤园,6
保定,石榴翡翠山,9500,其他,石榴翡翠山,5
保定,隆基泰和铂悦山,12000,其他,隆基泰和铂悦山,7
保定,中诚碧桂园璟公馆,13000,碧桂园,中诚璟公馆,5
保定,丽斯花园,9500,其他,丽斯花园,4
保定,翡翠华府,7800,其他,翡翠华府,4
保定,凤凰国际,9000,其他,凤凰国际,4
保定,中新悦朗,8500,其他,中新悦朗,4
保定,英伦名郡,价格待定,其他,英伦名郡,4
保定,宏远阳光丽景,8500,其他,宏远阳光丽景,6
保定,碧桂园悦公馆,价格待定,碧桂园,悦公馆,3
保定,嘉禾直隶新城花都,13500,其他,嘉禾直隶新城花都,8
保定,浪潮一览云山,6500,其他,浪潮一览云山,6
保定,IFC国际金融中心,7500,其他,IFC国际金融中心,9
保定,滨江郦城,9200,其他,滨江郦城,4
保定,汇元玖號院,6980,其他,汇元玖號院,5
保定,乾城华府,11500,其他,乾城华府,4
保定,鸿坤理想尔湾,11000,其他,鸿坤理想尔湾,6
保定,鸿坤理想湾,13500,其他,鸿坤理想湾,5
保定,锦绣范阳,11000,其他,锦绣范阳,4
保定,哈弗城,价格待定,其他,哈弗城,3
巴彦淖尔,云锦世家,6300,其他,云锦世家,4
巴彦淖尔,天赋雅苑,6200,其他,天赋雅苑,4
巴彦淖尔,君诚元小区,3600,其他,君诚元小区,5
巴彦淖尔,五星莊园,4500,其他,五星莊园,4
巴彦淖尔,恒大珺庭,7800,恒大,珺庭,2
巴彦淖尔,清宜林海岸,5000,其他,清宜林海岸,5
巴彦淖尔,大兴国际,4600,其他,大兴国际,4
巴彦淖尔,金岸国际,6050,其他,金岸国际,4
巴彦淖尔,滨河丽景,5000,其他,滨河丽景,4
巴彦淖尔,当代华庭,5200,其他,当代华庭,4
巴彦淖尔,世家广场,5800,其他,世家广场,4
巴彦淖尔,春雪山河墅8号,6500,其他,春雪山河墅8号,7
巴彦淖尔,兴盛国际花园,7300,其他,兴盛国际花园,6
巴彦淖尔,华泰丽都,5000,其他,华泰丽都,4
巴彦淖尔,日月星苑,4500,其他,日月星苑,4
巴彦淖尔,日信中央公园,4650,其他,日信中央公园,6
巴彦淖尔,浩彤新坐标,3500,其他,浩彤新坐标,5
巴彦淖尔,万达万尚城,4700,其他,万达万尚城,5
巴彦淖尔,富源幸福华庭,6200,其他,富源幸福华庭,6
巴彦淖尔,富源幸福里,6000,其他,富源幸福里,5
巴彦淖尔,奥林国际,6450,其他,奥林国际,4
巴彦淖尔,春雪山河森林公元,4600,其他,春雪山河森林公元,8
巴彦淖尔,临河碧桂园,5600,碧桂园,临河,2
巴彦淖尔,万锦世纪城,6500,其他,万锦世纪城,5
巴彦淖尔,兴盛国际,价格待定,其他,兴盛国际,4
北海,中电海湾国际社区,4800,其他,中电海湾国际社区,8
北海,百丰花园,6380,其他,百丰花园,4
北海,天隆三千海桃花岛家园,14000,其他,天隆三千海桃花岛家园,10
北海,天隆三千海,12900,其他,天隆三千海,5
北海,碧桂园北海阳光,5000,碧桂园,阳光,2
北海,明豪花园,6800,其他,明豪花园,4
北海,银滩掌舵家园,9200,其他,银滩掌舵家园,6
北海,彰泰红树湾小区,8500,其他,彰泰红树湾小区,7
北海,云星海景台,13000,其他,云星海景台,5
北海,嘉和海湾,11000,其他,嘉和海湾,4
北海,大都金沙湾,5300,其他,大都金沙湾,5
北海,中港城长沙湾,6800,其他,中港城湾,4
北海,皇家海湾公馆,13800,其他,皇家海湾公馆,6
北海,北部湾壹号,11000,其他,北部湾壹号,5
北海,德宝海上邱园,9500,其他,德宝海上邱园,6
北海,东投海玥府,7700,其他,东投海玥府,5
北海,壹海江山,13000,其他,壹海江山,4
北海,银滩万泉城,7100,其他,银滩万泉城,5
北海,中信国安北海第一城翡丽湾,9500,中信,国安第一城翡丽湾,8
北海,碧海华府,6150,其他,碧海华府,4
北海,阳光城悦江海,6288,阳光城,悦江海,3
北海,北海来康郡,8200,其他,来康郡,3
北海,港鹏龙湖湾,4200,龙湖,港鹏湾,3
北海,中电都会中心,25000,其他,中电都会中心,6
北海,蜀海善府,5800,其他,蜀海善府,4
北海,北海花漾里,7500,其他,花漾里,3
北海,中梁国宾一号,4100,中梁,国宾一号,4
北海,向海金融城,8500,其他,向海金融城,5
北海,海映长滩,7000,其他,海映长滩,4
北海,交投碧桂园海上星辰,5800,交投,海上星辰,4
北海,金滩郡,6200,其他,金滩郡,3
北海,龍胤银滩天际,8800,其他,龍胤银滩天际,6
北海,明业海逸豪园,13500,其他,明业海逸豪园,6
北海,银滩南星广场,10000,其他,银滩南星广场,6
北海,柏悦小镇,3500,其他,柏悦小镇,4
北海,金领家园,5500,其他,金领家园,4
北海,朗庭,6800,其他,朗庭,2
北海,金泰花园,4300,其他,金泰花园,4
北海,新洲国际商博城,5400,其他,新洲国际商博城,7
北海,铜锣湾,6350,其他,铜锣湾,3
北海,钦州湾观海湾,6500,其他,钦州湾观海湾,6
北海,贵玉苑,5500,其他,贵玉苑,3
北海,穗丰金湾,7000,其他,穗丰金湾,4
北海,兆信金悦湾,12000,其他,兆信金悦湾,5
北海,兆信禧悦湾,12000,其他,兆信禧悦湾,5
北海,嘉和万世,7100,其他,嘉和万世,4
北海,北部湾国际公馆,6800,其他,北部湾国际公馆,7
北海,富景花园,7350,其他,富景花园,4
北海,桐洋盛世花园,6700,其他,桐洋盛世花园,6
保亭,泰鑫花园,价格待定,其他,泰鑫花园,4
保亭,壹山郡,92-190,其他,壹山郡,3
保亭,保元18°花园,20100,其他,保元18°花园,7
保亭,金祥万卷山,68-177,其他,金祥万卷山,5
保亭,那香山,80000,其他,那香山,3
北京,合生me悦,65000,其他,合生me悦,5
北京,观唐云鼎,30000,其他,观唐云鼎,4
北京,运河铭著,49000,其他,运河铭著,4
北京,万年广阳郡九号,50000,其他,万年广阳郡九号,7
北京,首开璞瑅公馆,106000,首开,璞瑅公馆,4
北京,华远裘马四季,55000,其他,华远裘马四季,6
北京,御汤山熙园,40000,其他,御汤山熙园,5
北京,华远和墅,54000,其他,华远和墅,4
北京,天资华府,38000,其他,天资华府,4
北京,檀香府,45000,其他,檀香府,3
北京,韩建观山源墅,40000,其他,韩建观山源墅,6
北京,北辰墅院1900,42000,北辰,墅院1900,6
北京,北科建泰禾丽春湖院子,50000,泰禾,北科建丽春湖院子,8
北京,香江别墅,39300,其他,香江别墅,4
北京,绿地海珀云翡,65000,绿地,海珀云翡,4
北京,都丽华府,29000,其他,都丽华府,4
北京,中粮京西祥云,58000,中粮,京西祥云,4
北京,燕西华府,42000,其他,燕西华府,4
北京,紫辰院,128000,其他,紫辰院,3
北京,兴创荣墅,23000,其他,兴创荣墅,4
北京,温哥华森林,43478,其他,温哥华森林,5
北京,润泽御府,110000,其他,润泽御府,4
北京,中骏西山天璟,65000,中骏,西山天璟,4
北京,炫立方,30000,其他,炫立方,3
北京,京西悦府,33000,其他,京西悦府,4
北京,福景苑,83000,其他,福景苑,3
北京,K2十里春风,24500,其他,K2十里春风,6
北京,远洋新天地,25000,远洋,新天地,3
北京,北京书院,150000,其他,书院,2
北京,万科弗农小镇,25000,万科,弗农小镇,4
北京,首开保利欢乐大都汇,65000,首开,欢乐大都汇,5
北京,顺鑫颐和天璟,33000,其他,顺鑫颐和天璟,6
北京,誉天下盛寓,65000,其他,誉天下盛寓,5
北京,奥园雲水院,22000,奥园,雲水院,3
北京,北京城建北京合院,47000,北京城建,合院,2
北京,珠光御景西园,39000,其他,珠光御景西园,6
北京,金隅花石匠,51000,其他,金隅花石匠,5
北京,天润福熙大道,110000,其他,天润福熙大道,6
北京,京贸国际公馆,64000,其他,京贸国际公馆,6
北京,京贸国际城峰景,68000,其他,京贸国际城峰景,7
北京,旭辉城,28500,旭辉,城,1
北京,中海丽春湖墅合院,36000,中海,丽春湖墅合院,6
北京,泰禾金府大院,75000,泰禾,金府大院,4
北京,金樾和著,34000,其他,金樾和著,4
北京,和棠瑞著,19000,其他,和棠瑞著,4
北京,中海云筑,37000,中海,云筑,2
北京,远洋五里春秋,52024,远洋,五里春秋,4
北京,华萃西山,48000,其他,华萃西山,4
北京,住总正华时代广场,55000,其他,住总正华时代广场,8
北京,中粮天恒天悦壹号,85000,中粮,天恒天悦壹号,6
北京,中海云熙,37000,中海,云熙,2
北京,海晏春秋,52449,其他,海晏春秋,4
北京,京投发展锦悦府,25607,其他,京投发展锦悦府,7
北京,林肯时代,42000,其他,林肯时代,4
北京,金地大湖风华,33000,金地,大湖风华,4
北京,龙湖熙湖悦著,37000,龙湖,熙湖悦著,4
北京,北京华发中央公园,41000,其他,华发中央公园,6
北京,建邦顺颐府,55583,其他,建邦顺颐府,5
北京,葛洲坝中国府,135000,其他,葛洲坝中国府,6
北京,北京东湾,69600,其他,东湾,2
北京,天恒世界集,55000,其他,天恒世界集,5
北京,富兴首府,85000,其他,富兴首府,4
北京,中铁诺德阅墅,62000,中铁,诺德阅墅,4
北京,懋源璟岳,140000,其他,懋源璟岳,4
北京,合景泰富天汇,33000,合景泰富,天汇,2
北京,水岸雁栖,36000,其他,水岸雁栖,4
北京,懋源璟玺,86000,其他,懋源璟玺,4
北京,万科雲庐,39000,万科,雲庐,2
北京,北京城建宽院国誉府,31000,北京城建,宽院国誉府,5
北京,中国铁建澜廷墅,32000,中国铁建,澜廷墅,3
北京,禹洲朗廷湾,52508,禹洲,朗廷湾,3
北京,金茂北京国际社区,32000,金茂,国际社区,4
北京,住总如院,22728,其他,住总如院,4
北京,泰晤士印象,28000,其他,泰晤士印象,5
北京,和悦春风,37000,其他,和悦春风,4
北京,阳光城溪山悦,25000,阳光城,溪山悦,3
北京,长安九里,52000,其他,长安九里,4
北京,金禧璞瑅,47000,其他,金禧璞瑅,4
北京,熙悦天寰,58000,其他,熙悦天寰,4
北京,中骏云景台,28000,中骏,云景台,3
北京,禧瑞金海,22000,其他,禧瑞金海,4
北京,中建国望府,2435-3783,中建,国望府,3
北京,北科建翡翠华府,36800,其他,北科建翡翠华府,7
北京,保利绿城和锦诚园,63000,保利,和锦诚园,4
北京,金悦郡,40000,其他,金悦郡,3
北京,北京庄园,7682-18000,其他,庄园,2
北京,路劲御合院,29000,其他,路劲御合院,5
北京,熙红印,64400,其他,熙红印,3
北京,鑫苑盛世天玺,63000,其他,鑫苑盛世天玺,6
北京,中海甲叁號院,109000,中海,甲叁號院,4
北京,熙悦宸著,64400,其他,熙悦宸著,4
北京,北京壹号总部,28000,其他,壹号总部,4
北京,住总兴创如遇,27000,其他,住总兴创如遇,6
北京,中海寰宇视界,58000,中海,寰宇视界,4
北京,国祥府,28000,其他,国祥府,3
北京,懿府时光里,29700,其他,懿府时光里,5
北京,天樾书院,40000,其他,天樾书院,4
北京,中海首开拾光里,70000,中海,拾光里,3
北京,长海御墅,15000,其他,长海御墅,4
北京,华樾国际领尚,71000,其他,华樾国际领尚,6
北京,世茂北京天誉,120000,世茂,天誉,2
北京,航城壹号,33000,其他,航城壹号,4
北京,鸿瑞西峰溪悦府,45000,其他,鸿瑞西峰溪悦府,7
北京,长城璞院,20000,其他,长城璞院,4
北京,迈宇平墅,34000,其他,迈宇平墅,4
北京,玖瀛府,48000,其他,玖瀛府,3
北京,国誉万和城,82000,其他,国誉万和城,5
北京,中国铁建梧桐浅山,15000,中国铁建,梧桐浅山,4
北京,路劲御和府,42000,其他,路劲御和府,5
北京,中海京叁號院,70000,中海,京叁號院,4
北京,龙湖云河砚,38500,龙湖,云河砚,3
北京,公园都会,39000,其他,公园都会,4
北京,北京风景,43000,其他,风景,2
北京,艾迪公园,26000,其他,艾迪公园,4
北京,傲云,100000,其他,傲云,2
北京,西山相府,58000,其他,西山相府,4
北京,金地璟宸,41000,金地,璟宸,2
北京,长安悦玺,79500,其他,长安悦玺,4
北京,天资陸号院,39000,其他,天资陸号院,5
北京,朝阳一墅,65000,其他,朝阳一墅,4
北京,香溪家园,47500,其他,香溪家园,4
北京,春和景明,69600,其他,春和景明,4
北京,中建长安麓府,58000,中建,长安麓府,4
北京,招商中建顺义臻珑府,40000,招商,顺义臻珑府,5
北京,保利锦上,71000,保利,锦上,2
北京,龙樾合玺,88000,其他,龙樾合玺,4
北京,金融街武夷融御,66000,其他,金融街武夷融御,7
北京,和光瑞府,62000,其他,和光瑞府,4
北京,青云上府,66120,其他,青云上府,4
北京,和光悦府,88000,其他,和光悦府,4
北京,西甲时代中心,27000,其他,西甲时代中心,6
北京,馥郁苑,35800,其他,馥郁苑,3
北京,朝阳壹号,71000,其他,朝阳壹号,4
北京,国祥雲著,28000,其他,国祥雲著,4
北京,和锦华宸,39000,其他,和锦华宸,4
北京,和悦璞云,30000,其他,和悦璞云,4
北京,中骏金辉未来云城,53000,中骏,未来云城,4
北京,远洋源山春秋,93000,远洋,源山春秋,4
北京,德贤华府,57000,其他,德贤华府,4
北京,德贤御府,80000,其他,德贤御府,4
北京,国风金海,18900,其他,国风金海,4
北京,北清云际,62000,其他,北清云际,4
北京,绿城沁园,65000,绿城,沁园,2
北京,建发望京养云,70400,建发,望京养云,4
北京,国誉未来悦,56000,其他,国誉未来悦,5
北京,金地北京壹街区,45000,金地,壹街区,3
